Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
dialog_trader_response_whiteriveroutposts_history,Quest,Dialogs,,,What was it before the apocalypse?,,Was war es vor der Apokalypse?,¿Qué era antes del apocalipsis?,Qu'y avait-il avant l'apocalypse?,Cos'era prima dell'apocalisse?,黙示録の前は何でしたか？,종말 이전에는 무엇 이었습니까?,Co to było przed apokalipsą?,O que era antes do apocalipse?,Что было до апокалипсиса?,Kıyametten önce neydi?,启示录之前是什么？,啟示錄之前是什麼？
dialog_trader_response_whiteriveroutposts_relationship,Quest,Dialogs,,,What is your relationship with the Whiteriver settlers?,,In welcher Beziehung stehen Sie zu den Siedlern von Whiteriver?,¿Cuál es su relación con los colonos de Whiteriver?,Quelle est votre relation avec les colons de Whiteriver?,Qual è il tuo rapporto con i coloni Whiteriver?,ホワイトリバー入植者との関係はどうですか？,Whiteriver 정착민과의 관계는 무엇입니까?,Jakie są twoje relacje z osadnikami Whiteriver?,Qual é a sua relação com os colonos Whiteriver?,Каковы ваши отношения с поселенцами Уайтеривера?,Whiteriver yerleşimcileriyle ilişkiniz nedir?,您与Whiteriver定居者有什么关系？,您與Whiteriver定居者有什麼關係？
dialog_trader_statement_bad_encounter_hostile,Quest,Dialogs,,,"Well, whatever you did to piss them off, don't do it again.",,"Was auch immer Sie getan haben, um sie wütend zu machen, tun Sie es nicht noch einmal.","Bueno, lo que sea que hayas hecho para cabrearlos, no lo vuelvas a hacer.","Eh bien, quoi que vous ayez fait pour les énerver, ne recommencez pas.","Beh, qualunque cosa tu abbia fatto per farli incazzare, non farlo di nuovo.",ええと、あなたが彼らを怒らせるためにしたことは何でも、二度とそれをしないでください。,"글쎄, 당신이 그들을 화나게하기 위해했던 일이 무엇이든, 다시는하지 마십시오.","Cokolwiek zrobiłeś, żeby ich wkurzyć, nie rób tego ponownie.","Bem, o que quer que você tenha feito para irritá-los, não faça de novo.","Что ж, что бы ты ни сделал, чтобы разозлить их, не делай этого снова.","Onları sinirlendirmek için ne yaptıysan, bir daha yapma.",好吧，不管您为惹恼他们而做什么，都不要再做。,好吧，無論您為惹惱他們而做什麼，都不要再做。
dialog_trader_statement_cassadores,Quest,Dialogs,,,"The Cassadores are soldiers of the Duke, consisting mostly of former military.",,"Die Cassadores sind Soldaten des Herzogs, die hauptsächlich aus ehemaligen Militärs bestehen.","Los Cassadores son soldados del Duque, compuestos en su mayoría por ex militares.","Les Cassadores sont des soldats du duc, composés principalement d'anciens militaires.","I Cassadores sono soldati del Duca, costituiti principalmente da ex militari.",カサドールは公爵の兵士であり、主に元軍人で構成されています。,Cassadores는 주로 전 군대로 구성된 Duke의 군인입니다.,"Cassadores to żołnierze księcia, składający się głównie z byłych żołnierzy.","Os caçadores são soldados do duque, constituídos em sua maioria por ex-militares.","Кассадоры - солдаты герцога, состоящие в основном из бывших военных.","Cassadores, çoğunlukla eski ordudan oluşan Dük askerleridir.",卡萨多人是公爵的士兵，主要由前军组成。,卡薩多人是公爵的士兵，主要由前軍組成。
dialog_trader_statement_cassadores_encounter_informed,Quest,Dialogs,,,"Next time you're stopped by the Cassadores, don't resist them or try to run. Keep your hands visible, don't make any sudden movements, and explain what you are doing as you comply with their orders. It's the best way to avoid getting shot.",,"Wenn Sie das nächste Mal von den Cassadores angehalten werden, widersetzen Sie sich ihnen nicht und versuchen Sie nicht zu rennen. Halten Sie Ihre Hände sichtbar, machen Sie keine plötzlichen Bewegungen und erklären Sie, was Sie tun, wenn Sie deren Anweisungen befolgen. Dies ist der beste Weg, um nicht erschossen zu werden.","La próxima vez que te detengan los Cassadores, no te resistas ni intentes correr. Mantenga sus manos visibles, no haga movimientos bruscos y explique lo que está haciendo mientras cumple con sus órdenes. Es la mejor forma de evitar que le disparen.","La prochaine fois que vous êtes arrêté par les Cassadores, ne leur résistez pas et n'essayez pas de courir. Gardez vos mains visibles, ne faites aucun mouvement brusque et expliquez ce que vous faites en vous conformant à leurs ordres. C'est la meilleure façon d'éviter de se faire tirer dessus.","La prossima volta che vieni fermato dai Cassadores, non resistergli o prova a scappare. Tieni le mani visibili, non fare movimenti bruschi e spiega cosa stai facendo mentre rispetti i loro ordini. È il modo migliore per evitare di essere colpiti.",次回カサドールに立ち寄ったときは、彼らに抵抗したり、走ろうとしたりしないでください。手を見えるようにし、突然の動きをしないでください。そして、彼らの命令に従うときにあなたが何をしているのかを説明してください。撃たれないようにするための最良の方法です。,"다음 번에 카사 도르에게 제지 당할 때 저항하거나 달리려고하지 마십시오. 손을 잘 보이게하고, 갑작스러운 움직임을하지 말고, 명령에 따라 무엇을하고 있는지 설명하십시오. 총에 맞지 않는 가장 좋은 방법입니다.","Następnym razem, gdy zatrzymają Cię Cassadores, nie stawiaj im oporu ani nie próbuj uciekać. Miej ręce widoczne, nie wykonuj gwałtownych ruchów i wyjaśnij, co robisz, wykonując ich polecenia. To najlepszy sposób na uniknięcie strzału.","Da próxima vez que for parado pelos Caçadores, não resista a eles nem tente correr. Mantenha as mãos visíveis, não faça movimentos bruscos e explique o que está fazendo ao cumprir suas ordens. É a melhor maneira de evitar levar um tiro.","В следующий раз, когда вас остановят Кассадоры, не сопротивляйтесь им и не пытайтесь убежать. Держите руки на виду, не делайте резких движений и объясните, что вы делаете, выполняя их приказы. Это лучший способ избежать ранения.","Bir dahaki sefere Cassadores tarafından durdurulduğunuzda, onlara direnmeyin veya kaçmaya çalışmayın. Ellerinizi görünür tutun, ani hareketler yapmayın ve onların emirlerine uyarak ne yaptığınızı açıklayın. Vurulmaktan kaçınmanın en iyi yolu bu.",下次您被卡萨多人（Cassadores）拦住时，请不要反抗他们或尝试跑步。保持双手可见，不要突然移动，并在遵守他们的命令的同时说明自己在做什么。这是避免被枪杀的最好方法。,下次您被卡薩多人（Cassadores）攔住時，請不要抵抗他們或嘗試跑步。保持雙手可見，不要突然移動，並在遵守他們的命令的同時說明自己在做什麼。這是避免被槍殺的最好方法。
dialog_trader_statement_cassadores_name,Quest,Dialogs,,,Cazador means hunter in Spanish. I have no idea why the Duke would call his soldiers that.,,"Cazador bedeutet auf Spanisch Jäger. Ich habe keine Ahnung, warum der Herzog seine Soldaten so nennen würde.",Cazador significa cazador en español. No tengo idea de por qué el Duque llamaría así a sus soldados.,Cazador signifie chasseur en espagnol. Je ne sais pas pourquoi le duc appellerait ses soldats ainsi.,Cazador significa cacciatore in spagnolo. Non ho idea del perché il Duca chiamasse così i suoi soldati.,「カザドール」はスペイン語で「ハンター」を意味します。なぜ公爵が彼の兵士をそう呼ぶのか私には分かりません。,Cazador는 스페인어로 사냥꾼을 의미합니다. 공작이 왜 그의 병사들을 그렇게 부르는지 모르겠습니다.,"„Cazador” oznacza po hiszpańsku „myśliwy”. Nie mam pojęcia, dlaczego książę tak nazywał swoich żołnierzy.",Cazador significa caçador em espanhol. Não tenho ideia de por que o duque chamaria seus soldados assim.,"«Казадор» в переводе с испанского означает «охотник». Понятия не имею, почему герцог так называл своих солдат.","Cazador, İspanyolca'da avcı anlamına geliyor. Dük'ün askerlerine neden böyle hitap ettiği hakkında hiçbir fikrim yok.",“ Cazador”在西班牙语中意为“猎人”。我不知道为什么公爵会这样称呼他的士兵。,“ Cazador”在西班牙語中意為“獵人”。我不知道為什麼公爵會這樣稱呼他的士兵。
dialog_trader_statement_cassadores_name_hostile,Quest,Dialogs,,,Maybe the Duke is Mexican or something.,,Vielleicht ist der Herzog Mexikaner oder so.,Quizás el duque sea mexicano o algo así.,Peut-être que le duc est mexicain ou quelque chose comme ça.,Forse il Duca è messicano o qualcosa del genere.,多分公爵はメキシコ人か何かです。,공작은 멕시코 사람일지도 모르죠.,Może książę jest Meksykaninem czy coś.,Talvez o duque seja mexicano ou algo assim.,Может герцог мексиканец или что-то в этом роде.,Belki Dük Meksikalıdır.,也许公爵是墨西哥人或其他人。,也許公爵是墨西哥人或其他人。
dialog_trader_statement_cassadores_name_informed,Quest,Dialogs,,,"The Duke named them after the Caçadores Especiais, the old special forces units of the Portuguese Army.",,"Der Herzog benannte sie nach den Caçadores Especiais, den alten Spezialeinheiten der portugiesischen Armee.","El duque los nombró en honor a los Caçadores Especiais, las antiguas unidades de fuerzas especiales del ejército portugués.","Le duc les a nommés d'après les Caçadores Especiais, les anciennes unités des forces spéciales de l'armée portugaise.","Il duca li ha chiamati dopo i Caçadores Especiais, le vecchie unità delle forze speciali dell'esercito portoghese.",デュークは、ポルトガル陸軍の古い特殊部隊であるカサドレスエスペシアスにちなんで名付けました。,공작은 포르투갈 군대의 오래된 특수 부대 인 Caçadores Especiais의 이름을 따서 명명했습니다.,"Książę nazwał je na cześć Caçadores Especiais, starych jednostek sił specjalnych armii portugalskiej.","O duque lhes deu o nome dos Caçadores Especiais, as antigas unidades de forças especiais do Exército Português.","Герцог назвал их в честь Caçadores Especiais, старых подразделений специального назначения португальской армии.",Dük onlara Portekiz Ordusu'nun eski özel kuvvetler birimleri olan Caçadores Especiais'in adını verdi.,公爵以葡萄牙军队的旧特种部队CaçadoresEspeciais的名字命名。,公爵以葡萄牙特種部隊CaçadoresEspeciais的名字命名。
dialog_trader_statement_cassadores_name_joke,Quest,Dialogs,,,I guess the Duke is a fan of Age of Empires III.,,"Ich denke, der Herzog ist ein Fan von Age of Empires III.",Supongo que el Duque es fanático de Age of Empires III.,Je suppose que le duc est un fan d'Age of Empires III.,Immagino che il Duca sia un fan di Age of Empires III.,デュークはエイジオブエンパイアIIIのファンだと思います。,Duke는 Age of Empires III의 팬이라고 생각합니다.,"Myślę, że Duke jest fanem Age of Empires III.",Eu acho que o Duke é um fã do Age of Empires III.,"Думаю, герцог - фанат Age of Empires III.","Sanırım Dük, Age of Empires III hayranı.",我想公爵是《帝国时代3》的粉丝。,我想公爵是《帝國時代3》的粉絲。
dialog_trader_statement_dont_know,Quest,Dialogs,,,I don't know.,,Ich weiß es nicht.,No sé.,Je ne sais pas.,Non lo so.,知りません。,모르겠어요.,Nie wiem,Não sei.,Я не знаю.,Bilmiyorum.,我不知道。,我不知道。
dialog_trader_statement_group_relationship_hostile,Quest,Dialogs,,,"As long as they pay in Dukes, I don't care what they do.",,"Solange sie in Dukes bezahlen, ist es mir egal, was sie tun.","Mientras paguen en Dukes, no me importa lo que hagan.","Tant qu'ils paient en Dukes, je me fiche de ce qu'ils font.","Finché pagano in Dukes, non mi interessa cosa fanno.",彼らがデュークスで支払う限り、私は彼らが何をするかは気にしません。,"그들이 Dukes로 돈을 지불하는 한, 나는 그들이 무엇을하든 상관하지 않습니다.","Dopóki płacą w Dukes, nie obchodzi mnie, co robią.","Contanto que paguem em Dukes, não me importa o que façam.","Пока они платят герцогами, мне все равно, что они делают.","Düklerde ödeme yaptıkları sürece, ne yaptıkları umurumda değil.",只要他们付公爵钱，我就不在乎他们做什么。,只要他們付公爵錢，我就不在乎他們做什麼。
dialog_trader_statement_leader_motive_hostile,Quest,Dialogs,,,"Power, just like all men who say they're doing God's work.",,"Macht, genau wie alle Männer, die sagen, dass sie Gottes Werk tun.","Poder, como todos los hombres que dicen que están haciendo la obra de Dios.","Pouvoir, comme tous les hommes qui disent faire l'œuvre de Dieu.","Potere, proprio come tutti gli uomini che dicono di fare l'opera di Dio.",力、彼らが神の仕事をしていると言うすべての人のように。,권력은 하나님의 일을하고 있다고 말하는 모든 사람들과 같습니다.,"Moc, tak jak wszyscy ludzie, którzy mówią, że wykonują dzieło Boga.","Poder, assim como todos os homens que dizem que estão fazendo a obra de Deus.","Власть, как и все мужчины, которые говорят, что выполняют работу Бога.","Güç, tıpkı Tanrı'nın işini yaptıklarını söyleyen tüm erkekler gibi.",就像所有说自己在做上帝的工作的人一样，权力。,就像所有說自己在做上帝的工作的人一樣，權力。
dialog_trader_statement_navezgane,Quest,Dialogs,,,"Navezgane County Arizona is one of the last true Edens on Earth, where crops can still grow. It is mostly Apache Indian Reservation territory.",,"Navezgane County in Arizona ist eines der letzten wahren Eden der Erde, an denen noch Feldfrüchte gedeihen. Es ist größtenteils ein indianisches Reservat der Apachen.","Condado Navezgane, Arizona, uno de los últimos edenes verdaderos en la Tierra donde los cultivos todavía pueden crecer, que es en su mayoría territorio de la Reserva Indígena Apache.","Navezgane, comté de l'État de l'Arizona, est l'un des derniers paradis terrestres où les cultures poussent encore. Il occupe en majorité le territoire d'une réserve apache.","Navezgane County in Arizona uno degli ultimi veri paradisi terrestri dove le colture crescono ancora, che è principalmente territorio della riserva degli indiani apache.",アリゾナのネーブズジェーン郡はこの世の残された真の楽園の一つだろう。まだ作物も実っている。ほとんどの部分がアパッチ族のテリトリーだが。,"나베즈게인 카운티 애리조나는 지구 상의 마지막 진정한 에덴으로, 여전히 농작물이 자라고 대부분이 아파치 인디언 보호구역 영토에 속해있어. ","Hrabstwo Navezgane w stanie Arizona to jeden z ostatnich rajów na Ziemi, gdzie ziemia jest płodna. Większość terytorium wchodzi na skład rezerwatu Apaczów.","Condado Navezgane, Arizona, um dos últimos Édens na Terra onde ainda é possível cultivar alguma coisa. É mais um território de reserva de índios apache.","Округ Невезган в Аризоне — один из последних райских уголков на земле, где все еще могут расти сельскохозяйственные культуры. В основном, это территория индейской резервации апачей.","Arizona'daki Navezgane Kasabası, Dünya üzerinde hâlâ ekin yetiştirilebilen son yerdir, büyük bir kısmı Apaçi Kızılderili Ayrılmış Bölgesi'nde yer alır.",亚利桑那州的纳维戈恩是地球上最后的伊甸园了，那里的土地还能生长出粮食。它大部分都属于阿帕奇印第安人保留地。,地球上真正的伊甸园所剩無几，而亞利桑那州的暗黑伊甸園縣是其中之一，那裏的農作物仍然可以生長，大部分區域屬於阿帕奇印第安保留地。
dialog_trader_statement_neutral_relationship,Quest,Dialogs,,,We stay out of each other's business.,,Wir halten uns gegenseitig aus dem Geschäft.,Nos mantenemos al margen de los asuntos de los demás.,Nous restons en dehors des affaires de l'autre.,Restiamo fuori dagli affari l'uno dell'altro.,私たちはお互いのビジネスから離れています。,우리는 서로의 일을하지 않습니다.,Trzymamy się z dala od swoich interesów.,Nós ficamos fora dos negócios um do outro.,Мы не вмешиваемся в дела друг друга.,Birbirimizin işinin dışında kalıyoruz.,我们保持彼此的生意。,我們保持彼此的生意。
dialog_trader_statement_noah,Quest,Dialogs,,,Noah is the leader of the Whiteriver settlement. The Duke considers Noah a threat to his authority.,,Noah ist der Anführer der Whiteriver-Siedlung. Der Herzog betrachtet Noah als Bedrohung für seine Autorität.,Noah es el líder del asentamiento Whiteriver. El duque considera a Noé una amenaza para su autoridad.,Noah est le chef de la colonie de Whiteriver. Le duc considère Noé comme une menace pour son autorité.,Noah è il capo dell'insediamento di Whiteriver. Il duca considera Noè una minaccia alla sua autorità.,ノアはホワイトリバー集落のリーダーです。公爵はノアを彼の権威に対する脅威と見なしています。,노아는 화이트 리버 정착촌의 지도자입니다. 공작은 노아를 그의 권위에 대한 위협으로 간주합니다.,Noah jest przywódcą osady Whiteriver. Książę uważa Noego za zagrożenie dla jego autorytetu.,Noah é o líder do assentamento de Whiteriver. O duque considera Noé uma ameaça à sua autoridade.,Ной - лидер поселения Уайтривер. Герцог считает Ноя угрозой своему авторитету.,"Noah, Whiteriver yerleşim biriminin lideridir. Dük, Noah'ı otoritesine bir tehdit olarak görür.",诺亚（Noah）是Whiteriver定居点的领袖。公爵认为诺亚对他的权威构成威胁。,諾亞（Noah）是Whiteriver解決方案的領導人。公爵認為諾亞對他的權威構成威脅。
dialog_trader_statement_noah_history,Quest,Dialogs,,,He was a doctor from up north.,,Er war ein Arzt aus dem hohen Norden.,Era un médico del norte.,C'était un médecin du nord du pays.,Era un medico del nord.,彼は北上からの医者でした。,그는 북쪽에서 온 의사였습니다.,Był lekarzem z północy.,Ele era um médico do norte.,Он был врачом с севера.,Kuzeyden bir doktordu.,他是北方的医生。,他是北方的醫生。
dialog_trader_statement_noah_history_hostile,Quest,Dialogs,,,Some kind of shaman or medicine man.,,Eine Art Schamane oder Medizinmann.,Una especie de chamán o curandero.,Une sorte de chaman ou de guérisseur.,Una specie di sciamano o stregone.,ある種のシャーマンや祈祷師。,어떤 종류의 무당이나 주술사.,Jakiś szaman lub szaman.,Algum tipo de xamã ou curandeiro.,Какой-то шаман или знахарь.,Bir tür şaman veya tıp adamı.,某种巫师或药师。,某種巫師或藥師。
dialog_trader_statement_noah_history_informed,Quest,Dialogs,,,"As a member of Sigma Nu Alpha Gamma, he earned degrees in microbiology and genetics from the University of Oklahoma.\n\nHe came to Arizona to help prevent the outbreak, but ended up in Whiteriver after the first Blood Moon.",,"Als Mitglied von Sigma Nu Alpha Gamma erwarb er Abschlüsse in Mikrobiologie und Genetik an der Universität von Oklahoma.\n\nEr kam nach Arizona, um den Ausbruch zu verhindern, landete aber nach dem ersten Blutmond in Whiteriver.","Como miembro de Sigma Nu Alpha Gamma, obtuvo títulos en microbiología y genética de la Universidad de Oklahoma.\n\nVino a Arizona para ayudar a prevenir el brote, pero terminó en Whiteriver después de la primera Blood Moon.","En tant que membre de Sigma Nu Alpha Gamma, il a obtenu des diplômes en microbiologie et génétique de l'Université de l'Oklahoma.\n\nIl est venu en Arizona pour aider à prévenir l'épidémie, mais s'est retrouvé à Whiteriver après la première lune de sang.","Come membro di Sigma Nu Alpha Gamma, si è laureato in microbiologia e genetica presso l'Università dell'Oklahoma.\n\nÈ venuto in Arizona per aiutare a prevenire l'epidemia, ma è finito a Whiteriver dopo il primo Blood Moon.",Sigma Nu Alpha Gammaのメンバーとして、オクラホマ大学で微生物学と遺伝学の学位を取得しました。\n\n彼は発生を防ぐためにアリゾナに来ましたが、最初のブラッドムーンの後にホワイトリバーに行き着きました。,Sigma Nu Alpha Gamma의 회원 인 그는 University of Oklahoma에서 미생물학 및 유전학 학위를 받았습니다.\n\n그는 발병을 예방하기 위해 애리조나에 왔지만 첫 번째 블러드 문 이후 화이트 리버에 도착했습니다.,"Jako członek Sigma Nu Alpha Gamma uzyskał stopnie naukowe z mikrobiologii i genetyki na Uniwersytecie Oklahomy.\n\nPrzyjechał do Arizony, aby zapobiec wybuchowi epidemii, ale po pierwszym Krwawym Księżycu wylądował w Whiteriver.","Como membro da Sigma Nu Alpha Gamma, ele se formou em microbiologia e genética pela University of Oklahoma.\n\nEle veio para o Arizona para ajudar a prevenir o surto, mas acabou em Whiteriver após a primeira Lua de Sangue.","Как член Sigma Nu Alpha Gamma, он получил степень в области микробиологии и генетики в Университете Оклахомы.\n\nОн приехал в Аризону, чтобы помочь предотвратить вспышку, но оказался в Уитеривере после первой Кровавой Луны.","Sigma Nu Alpha Gamma'nın bir üyesi olarak, Oklahoma Üniversitesi'nden mikrobiyoloji ve genetik diplomaları aldı.\n\nSalgını önlemeye yardım etmek için Arizona'ya geldi, ancak ilk Kanlı Ay'dan sonra Whiteriver'da kaldı.",作为Sigma Nu Alpha Gamma的成员，他获得了俄克拉荷马大学的微生物学和遗传学学位。\n\n他来到亚利桑那州是为了帮助防止疫情爆发，但在第一次“血月”之后就来到了怀特里弗。,作為Sigma Nu Alpha Gamma的成員，他獲得了俄克拉荷馬大學的微生物學和遺傳學學位。\n\n他來到亞利桑那州是為了幫助防止疫情爆發，但在第一次“血月”之後就來到了懷特里弗。
dialog_trader_statement_noah_leader_hostile,Quest,Dialogs,,,I guess nobody else wanted the job.,,"Ich denke, niemand anderes wollte den Job.",Supongo que nadie más quería el trabajo.,Je suppose que personne d'autre ne voulait le travail.,Immagino che nessun altro volesse il lavoro.,私は他の誰もその仕事を望んでいないと思います。,아무도 그 일을 원하지 않았나 봐요.,Chyba nikt inny nie chciał tej pracy.,Acho que ninguém mais queria o trabalho.,"Думаю, эта работа никому не нужна.",Sanırım işi başka kimse istemedi.,我猜没有其他人想要这份工作。,我猜沒有其他人想要這份工作。
dialog_trader_statement_noah_leader_informed,Quest,Dialogs,,,He took over after the entire White Mountain Apache Tribal Council was eaten.,,"Er übernahm, nachdem der gesamte Stammesrat der White Mountain Apache gegessen worden war.",Se hizo cargo después de que se comiera todo el Consejo Tribal Apache de la Montaña Blanca.,Il a pris la relève après que tout le Conseil tribal des Apaches de White Mountain ait été mangé.,Ha preso il sopravvento dopo che l'intero Consiglio Tribale Apache della Montagna Bianca è stato mangiato.,ホワイトマウンテンアパッチ部族評議会全体が食べられた後、彼は引き継いだ。,그는 화이트 마운틴 아파치 부족 의회 전체를 먹은 후 인수했습니다.,Przejął władzę po zjedzeniu całej Rady Plemiennej Apaczów Białej Góry.,Ele assumiu depois que todo o Conselho Tribal de White Mountain Apache foi comido.,"Он вступил во владение после того, как был съеден весь Совет племени Апачей Белой Горы.",White Mountain Apaçi Kabile Konseyi'nin tamamı yenildikten sonra görevi devraldı.,在整个白山阿帕奇部落委员会被吃掉之后，他接手了工作。,在整個白山阿帕奇部落委員會被吃掉之後，他接手了工作。
dialog_trader_statement_relationship_supplies_guns,Quest,Dialogs,,,He supplies me with guns and ammunition.,,Er versorgt mich mit Waffen und Munition.,Me proporciona armas y municiones.,Il me fournit des armes et des munitions.,Mi fornisce armi e munizioni.,彼は私に銃と弾薬を供給してくれます。,그는 나에게 총과 탄약을 공급합니다.,Dostarcza mi broń i amunicję.,Ele me fornece armas e munições.,Он снабжает меня оружием и боеприпасами.,Bana silah ve cephane sağlıyor.,他为我提供枪支弹药。,他為我提供槍支彈藥。
dialog_trader_statement_relationship_supplies_medicine,Quest,Dialogs,,,He supplies me with medicine.,,Er versorgt mich mit Medikamenten.,Me proporciona medicinas.,Il me fournit des médicaments.,Mi fornisce le medicine.,彼は私に薬を供給してくれます。,그는 나에게 약을 공급합니다.,Dostarcza mi lekarstwa.,Ele me fornece remédios.,Он снабжает меня лекарствами.,Bana ilaç veriyor.,他为我提供药物。,他為我提供藥物。
dialog_trader_statement_relationship_supply_armor,Quest,Dialogs,,,They supply me with armor.,,Sie versorgen mich mit Rüstungen.,Me proveen de armaduras.,Ils me fournissent une armure.,Mi forniscono l'armatura.,彼らは私に鎧を供給します。,그들은 나에게 갑옷을 제공합니다.,Dostarczają mi zbroję.,Eles me fornecem uma armadura.,Они снабжают меня доспехами.,Bana zırh sağlıyorlar.,他们为我提供盔甲。,他們為我提供盔甲。
